"Nummer","Bezeich","GatterDefine","CSharpTyp","LenMax","NachkDef","Typ","Match","Hilfe"
"0","Gewichtssumme_brutto_Zugang","ID_GEWICHTBRUTTO_ZUG","double","20","2","0","gewichtbrutto_zug",""
"1","Festtext","ID_FESTTEXT","string","255","0","1","festtext","Fester Text"
"2","SQL Statement","ID_SQL","string","4096","0","2","ID_SQL",""
"3","Text-Variable","ID_VARTEXT","string","256","0","0","VarText",""
"4","Zahl-Variable","ID_VARNUM","double","16","2","3","VarNum",""
"5","Datum-Variable","ID_VARDAT","DateTime","10","0","0","VARDAT",""
"6","Adress-Variable","ID_VARADR","void","132","0","5","VARADR",""
"7","SQL Zugriff auf Daten","ID_SQLK","string","255","2","0","SQL",""
"8","Bemerkungstext-Variable","ID_VARBEMERK","void","255","0","5","VARBEMERK",""
"9","SQL-Variable","ID_VARSQL","string","255","0","0","SQLVar",""
"10","Blattnummer","ID_IT_SEITE","int","8","0","4","ID_BLATT",""
"11","Tagesdatum","ID_IT_TAGESDATUM","DateTime","10","0","4","Tagesdatum",""
"12","Direktory für Crystal Report Dateien","ID_REPORTDIR","string","64","0","0","ID_REPORTDIR",""
"13","Kurzname des Bedieners","ID_BEDIENERKURZ","string","20","0","0","ID_BEDIENERKURZ",""
"14","Id des Bedieners","ID_BEDIENERID","int","8","0","3","ID_BEDIENERID",""
"15","Klasse des Bedieners","ID_BEDIENERKLASSE","int","8","2","3","ID_BEDIENERKLASSE",""
"16","Mandantenkennung","ID_MANDANT","string","10","0","0","ID_MANDANT",""
"17","Sprachkodierung","ID_SPRACHE","int","3","0","3","ID_SPRACHE",""
"18","Verpackungsbezeichnung","ID_GEFAHR_VERPBEZ","string","40","0","0","VerpBez","Verpackungsbezeichnung"
"19","Bezugsgroesse","ID_GEFAHR_BEZUGSGROESSE","double","12","2","3","BezugsGroesse",""
"20","Makro Prozedur ausführen","ID_MACRO_PROC","void","255","0","0","PROC","Ausgabe durch Makro ermitteln"
"21","Spaltenberechnung per Makro","ID_MAKRO_COLUMN","void","128","0","0","ID_MAKRO_COLUMN","wird nur intern von der Formularsteuerung benutzt"
"22","Bitmap aus Datei/Archiv","ID_BITMAP_FILE","void","255","0","0","Bitmap File/Archiv","Name einer BMP-Datei/Archiv-Referenz"
"23","Bezugstyp","ID_GEFAHR_BEZUGSTYP","int","8","0","0","BezugsTyp",""
"24","Kategoriefaktor","ID_GEFAHR_KATEGORIEFAKTOR","int","8","0","0","KategorieFaktor",""
"25","Kategoriegrenzmenge","ID_GEFAHR_KATEGORIEGRENZMENGE","int","8","0","0","KategorieGrenzMenge",""
"26","Verpackungsanzahl","ID_GEFAHR_VERPANZAHL","double","12","2","3","VerpackungsAnzahl",""
"27","Verpackungscode","ID_GEFAHR_VERPCODE","string","40","0","0","VerpackungsCode",""
"28","Verpackungscode 2","ID_GEFAHR_VERPCODE2","string","40","0","0","Verpackungscode2",""
"29","VerpackungsRN","ID_GEFAHR_VERPRN","string","40","0","0","VerpackungsRN",""
"30","Verpackungstyp","ID_GEFAHR_VERPTYP","string","40","0","0","VerpackungsTyp",""
"31","Verpackungswertstoff","ID_GEFAHR_VERPWERTSTOFF","string","40","0","0","VerpackungsWertStoff",""
"32","Ziffer","ID_GEFAHR_ZIFFER","string","40","0","0","Ziffer",""
"33","Statusmerker für interne Zwecke","ID_STATUS","int","2","0","0","status",""
"34","Zentral bzw. Buchwährung","ID_IT_BUCHWAEHRUNG","void","4","0","4","BUCHWAEHRUNG","Zentral bzw. Buchwährung"
"35","Buchwährung in Textformat","ID_IT_BUCHWAEHRUNGTEXT","void","4","0","4","BuchwaehrungText","Buchwährung in Textformat"
"36","JVars-Text-Variable","ID_JVARSTEXT","string","256","0","0","JVarsText",""
"37","JVars-Zahl-Variable","ID_JVARSNUM","double","16","2","3","JVarsNum",""
"38","Anzahl Produktionen","ID_PRODANZAHL","int","16","0","3","ProdAnzahl",""
"39","Signatur","ID_SIGNATUR","string","255","0","0","Signatur",""
"40","Textdokument","ID_FESTTEXTWORD","void","255","0","0","Textdokument",""
"41","Bitmap aus LiLa","ID_BITMAP_LILA","void","255","0","0","Bitmap LiLa","Bitmap aus LILA"
"42","Formularnummer Vorgang","ID_FORMULARIDVORGANG","int","8","0","3","Formularnummer Vorg.",""
"43","Formularbezeichnung","ID_FORMULARID_BEZEICH","string","40","0","0","Formularbezeichnung",""
"44","Datenbankprozedur mit Resultset","ID_DB_PROC","","255","0","0","ID_DB_PROC",""
"45","EPC-QR-CODE","ID_EPC_QR_CODE","void","255","0","0","EPC-QR-CODE","EPC-QR-CODE per LILA"
"46","TSE_QR_CODE","ID_TSE_QR_CODE","void","255","0","0","TSE_QR_CODE","TSE QR CODE für Lila"
"50","Gänsefüßchen","ID_GAENSEFUESSCHEN","void","1","0","0","gaensefuss","ASCII SH-2"
"51","einfache Linie","ID_EINFACH_LINIE","void","255","0","0","Linie","einfache Linie speziell für Windows+ASCII"
"52","doppelte Linie","ID_DOPPEL_LINIE","void","255","0","0","Doppellinie","Doppelte Linie für Windows + ASCII Druck"
"53","einfache Linie 2","ID_EINFACH_LINIE2","void","255","0","0","einf linie 2",""
"54","doppelte Linie 2","ID_DOPPEL_LINIE2","void","255","0","0","dopp linie 2",""
"55","Druckfeld","ID_DRUCKFELD","string","255","0","0","Druckfeld",""
"56","Teilbereich bewegen","ID_FRM_ZIEL_KOPIE","","0","0","1","Teilbereich bewegen",""
"60","Verpackungsgruppe Gefahrgut","ID_GEFAHR_VERPGRUPPE","string","8","0","0","Verpackungsgruppe",""
"61","Gefahrzettel Gefahrgut","ID_GEFAHR_GEFAHRZETTEL","string","80","0","0","Gefahrzettel",""
"62","Tunnelbeschränkungscode","ID_GEFAHR_TUNNELCODE","string","40","0","0","Tunnelcode",""
"63","Ist das Gefahrgut mit Wasser löschbar?","ID_GEFAHR_LOESCHWASSER","","2","0","0","Löschbar",""
"64","Ist das Gefahrgut mit Schaum löschbar?","ID_GEFAHR_LOESCHSCHAUM","","2","0","0","Löschbar",""
"65","Ist das Gefahrgut mit CO2 löschbar?","ID_GEFAHR_LOESCHCO2","","2","0","0","Löschbar",""
"66","Ist das Gefahrgut mit Pulver Löschbar?","ID_GEFAHR_LOESCHPULVER","","2","0","0","Löschbar",""
"67","Passende Signatur zum Beleg","ID_BITMAP_SIGNATUR","void","0","0","0","ID_BITMAP_SIGNATUR","Passende Signatur zum Beleg"
"100","Klassennummer","ID_V_KLASSNUMMER","int","8","0","3","Klassennummer",""
"101","Unterklassennummer","ID_V_UKLASSNUMMER","short","8","0","0","Unterklasse",""
"102","Kunden ID zum Vorgang","ID_KUNDIDZUORD","int","8","0","0","KundIdZuordn",""
"103","Vorgangsdatum","ID_V_DATUM","DateTime","10","0","0","Vorgangsdatum",""
"104","Vorgangsnummer","ID_V_NUMMER","string","20","0","0","Vorgangsnummer",""
"105","Nummern aus dem Nummernkreis","ID_V_NUMNUMMER","int","8","0","3","NumNummer",""
"106","Kundennummer","ID_KUNDNUMMER","int","8","0","3","KundNummer",""
"107","Hauptadresse","ID_HAUPTADRESSID","int","132","1","5","Hauptadresse","Länge des Adressblockes"
"108","Versandadresse oder Hauptadresse","ID_VERSANDADRESSID","int","132","1","5","versadressid","Länge des Adressblockes"
"109","Vorgangs ID","ID_V_ID","int","12","0","3","V_ID",""
"110","Wiegeschein-Nummer","ID_V_WIEGENUMMER","int","20","0","0","v_wiegenummer",""
"111","Anzahl manuelle Steuerbeträge","ID_MANUELLE_STEUER","int","4","0","3","manuelle_steuer","NUR ZUM INTERNEN GEBRAUCH!"
"112","Datum der Steuersatzermittlung","ID_V_DATUM_STEUER","DateTime","10","0","0","v_datum_steuer",""
"113","Textdokument","ID_KUNDID_NACKT","int","10","0","3","Textdokument",""
"114","Vorgangs-Unternummer","ID_V_UNTERNUMMER","int","4","0","3","v_unternummer",""
"115","Externe Kundennummer","ID_KUNDEXTNUMMER","string","30","0","0","KundExtNummer",""
"116","Einkommensteuernummer des Kunden","ID_EINKOMMENSTEUERNUMMER","string","40","0","0","EINKOMMENSTEUERNR",""
"117","Dauerauftrag Anfangsdatum","ID_DAUER_ANFDAT","DateTime","10","0","0","DauerAnfang",""
"118","Dauerauftrag nächster Termin","ID_DAUER_NAEDAT","DateTime","10","0","0","Dauer Nächats Dat",""
"119","Dauerauftrag Periode","ID_DAUER_PERIODE","int","3","0","3","Dauerauftrga periode",""
"120","Dauerauftrag Gültigkeit","ID_DAUER_GUELTIG","DateTime","40","0","0","Dauer Gültigkeit",""
"121","Hoflisten ID","ID_OWAAGE_ID","int","10","0","0","owaage_id","Die ID des Wiegeeintrages in der Hofliste"
"122","Dauerauftrag Enddatum","ID_DAUER_ENDDAT","","10","0","0","DauerEnde",""
"125","Kassen-Vorgangs-Kennzeichen","ID_KASSENVORGANG","short","8","0","3","Kasse","größer 0 bei Kassenvorgängen"
"140","Valid-Kennzeichen","ID_VALID","int","1","0","0","Validkennzeichen","z.B. Valid-Kennzeichen 0 bzw. 1 für Vorgang"
"150","Sperre gegen Umwandlung","ID_SPERRUMWANDLUNG","short","4","0","3","sperrumwandlung",""
"160","Währungsumrechnungsfeld SQL","ID_WAEHRUMRECHNUNG","double","14","4","3","waehrumrechnung","Internes Umrechnungsfeld für SQL Statements"
"161","Waherungsumrechnungsfeld f. Preis","ID_WAEHRUMRECHNUNG_PREIS","double","14","4","3","waehrumrechnung_pr","Internes Umrechenfeld für SQL Boxes"
"170","Nettowiegung","ID_NETTOWIEGUNG","double","12","4","3","Nettowiegung",""
"171","Wiegung1","ID_WIEGUNG1","string","70","0","0","Wiegung1",""
"172","Wiegung2","ID_WIEGUNG2","string","70","0","0","Wiegung2",""
"173","Speditionsadresse","ID_SPEDITIONSADRESSE","void","132","1","5","Speditionsadresse","Länge des Adressblockes"
"174","AddOnId","ID_ADDON_ID","int","12","0","3","AddOnId",""
"175","EDI Kunden Auftragsdatum","ID_EDI_KU_AUFTRAGS_DATUM","DateTime","10","0","0","Ku Auftrag Datum",""
"176","EDI Kunden Auftragsnummer","ID_EDI_KU_AUFTRAGS_NUMMER","string","17","0","0","Ku Auftrag Nummer",""
"177","1teWZeit","ID_1TEWZEIT","string","25","0","0","1teWZeit",""
"178","2teWZeit","ID_2TEWZEIT","string","25","0","0","2teWZeit",""
"180","Vorgangstext (Kopf/Fuß)","ID_VORGTEXT","string","255","0","0","vorgtext","Switch = Textklasse"
"181","Vorgangstextklasse","ID_VORGTXKLASSE","string","40","0","0","vorgtxklasse","Switch = Textklasse"
"182","Vorgangstextklasse (Bezeichnung)","ID_VORGTXKLBEZEICH","string","40","0","0","vorgtxklbezeich","Switch = Textklasse"
"183","Vorgangstextgruppe (Textnummer)","ID_VORGTXGRUPPE","int","8","0","3","vorgtxgruppe",""
"184","Vorgangstextgruppe (int.Verweis!)","ID_VORGTXGRID","int","8","0","3","vorgtxgrid","NICHT für Formulareinrichtung!"
"185","Vorgangstext-Auflösungs-Kennzeichen","ID_VORGTXGRAUFLKENNZ","int","1","0","3","vorgtxgrauflkenn","NICHT für Formulareinrichtung!"
"186","Vorgangstext-Bemerkungs-Verweis","ID_VTEXT_BEMERKID","int","10","0","3","vtext_bemerkid","NICHT für Formulareinrichtung!"
"187","Maximale Vorgangsstufe für Texte","ID_VORGTXGRMAXSTUFE","int","1","0","3","vorgtxgrmaxstufe","nicht zum Einrichten!"
"188","Anzahl vorh. Vorgangstexte","ID_VTEXT_ANZAHL","int","4","0","3","vtext_anzahl","NICHT EINRICHTBAR!"
"189","Vorgangstext","ID_VTEXT_TEXT","string","255","0","0","vtext_text","NICHT FÜR DRUCKEINRICHTUNG!"
"190","Vorgangstext-Bezeichnung","ID_VORGTXGRBEZEICH","string","40","0","0","vorgtxgrbezeich","NICHT FÜR DRUCKEINRICHTUNG!"
"191","Vorgangstexte bereits aufgelöst?","ID_VTEXT_FERTIG","int","1","0","3","vtext_fertig","NICHT FÜR DRUCKEINRICHTUNG!"
"192","Vorgangstext-Auflösung erfolgt?","ID_TEXTE_AUFGELOEST","int","1","0","3","texte_aufgeloest","NUR INTERN!"
"193","Maximale Vorgangsstufe","ID_MAX_STUFE","int","1","0","3","max_stufe","NUR INTERN!!!"
"194","Faxnummer aus Hauptanschrift","ID_FAXNUMMER_HA","string","40","0","0","faxnummer",""
"195","AdressId des Rechnungempfängers","ID_ADRESSIDRECHN","int","10","0","0","id_rechn",""
