"Code","Param","Beschreibung","Aufruf"
"ABORT_DIALOG","","Abbruch mit ESC","^jpl Kassen_Funktion('ABORT_DIALOG','')"
"ABORT_DIALOG","","Abgelehnt - Prüfung nicht erfolgreich","^jpl Kassen_Funktion('ABORT_DIALOG','')"
"ABORT_DIALOG","","Den Dialog beenden","^jpl Kassen_Funktion('ABORT_DIALOG','')"
"ABORT_DIALOG","1","Leergut verwerfen","^jpl Kassen_Funktion('ABORT_DIALOG','1')"
"ARTIKEL","","Artikel eingeben","^jpl Kassen_Funktion('ARTIKEL','')"
"BELEG_ABBRUCH","","aktueller Beleg wird abgbrochen","^jpl Kassen_Funktion('BELEG_ABBRUCH','')"
"BETRAG_AENDERN","","Betrag der aktuellen Warenposition ändern","^jpl Kassen_Funktion('BETRAG_AENDERN','')"
"BON","","den Bon des zuletzt abgeschlossenen Belegs drucken","^jpl Kassen_Funktion('BON','')"
"BRUTTO_NETTO","","Umschalten auf Brutto- oder Nettobeleg","^jpl Kassen_Funktion('BRUTTO_NETTO','')"
"CLEAR","","Eingabe löschen","^jpl Kassen_Funktion('CLEAR','')"
"DIALOG","LEERGUT","Leergut zuordnen","^jpl Kassen_Funktion('DIALOG','LEERGUT')"
"EC_KARTE","","mit EC-Karte bezahlen","^jpl Kassen_Funktion('EC_KARTE','')"
"EINRICHTUNG","","Einrichtung überprüfen","^jpl Kassen_Funktion('EINRICHTUNG','')"
"END_DIALOG","","Alle Eingaben übernehmen","^jpl Kassen_Funktion('END_DIALOG','')"
"END_DIALOG","","Angaben übernehmen","^jpl Kassen_Funktion('END_DIALOG','')"
"END_DIALOG","","Geprüft","^jpl Kassen_Funktion('END_DIALOG','')"
"ENDE_ZUM_MENU","","Kasse Beende und zurück zum Hauptmenu","^jpl Kassen_Funktion('ENDE_ZUM_MENU','')"
"ENTER","","Alle Eingaben übernehmen","^jpl Kassen_Funktion('ENTER','')"
"ENTER","0","Enter","^jpl Kassen_Funktion('ENTER','0')"
"GRABATT_BETRAG","","Rabatt auf alles als fester Betrag","^jpl Kassen_Funktion('GRABATT_BETRAG','')"
"GRABATT_PROZENT","","Prozentualer Gesamtrabatt","^jpl Kassen_Funktion('GRABATT_PROZENT','')"
"KORR_ARTIKELTEXT","","Artikeltext der aktuellen Warenposition ändern","^jpl Kassen_Funktion('KORR_ARTIKELTEXT','')"
"LADE_OEFFNEN","","Schublade","^jpl Kassen_Funktion('LADE_OEFFNEN','')"
"LAGER","","LAger","^jpl Kassen_Funktion('LAGER','')"
"LAGERABGABE","","Lagerabgabe","^jpl Kassen_Funktion('LAGERABGABE','')"
"LAGERABGABE_AENDERN","","Lagerabgabe ändern","^jpl Kassen_Funktion('LAGERABGABE_AENDERN','')"
"MENGE","","Menge eingeben","^jpl Kassen_Funktion('MENGE','')"
"MENGE","1","Menge um eins erhöhen","^jpl Kassen_Funktion('MENGE','1')"
"MENGE_AENDERN","","Menge der aktuellen Warenposition ändern","^jpl Kassen_Funktion('MENGE_AENDERN','')"
"MOVE_FIRST","","FIRST","^jpl Kassen_Funktion('MOVE_FIRST','')"
"MOVE_LAST","","LAST","^jpl Kassen_Funktion('MOVE_LAST','')"
"NEUVORGANG","","nur zum Test einen neuen Vorgang machen","^jpl Kassen_Funktion('NEUVORGANG','')"
"PARKEN","","Beleg parken bzw. geparkten Beleg aufnehmen","^jpl Kassen_Funktion('PARKEN','')"
"POSCHANGEMENGE","1.00","LETZTE MENGE+1","^jpl Kassen_Funktion('POSCHANGEMENGE','1.00')"
"POSNOCHMAL","","die letzte Position wiederholen","^jpl Kassen_Funktion('POSNOCHMAL','')"
"PREIS_AENDERN","","Preis der aktuellen Warenposition ändern","^jpl Kassen_Funktion('PREIS_AENDERN','')"
"PREISMANUELL","","Umschalten Preiserfassung","^jpl Kassen_Funktion('PREISMANUELL','')"
"RABATT_BETRAG","","Zeilenrabatt als Betrag","^jpl Kassen_Funktion('RABATT_BETRAG','')"
"RABATT_PROZENT","","Prozentualer Zeilenrabatt","^jpl Kassen_Funktion('RABATT_PROZENT','')"
